Year,Age,Sex,Population
1961,01-04,Male,121.3
1961,01-04,Female,116.7
1961,05-09,Male,147.0
1961,05-09,Female,140.7
1961,10-14,Male,148.3
1961,10-14,Female,140.5
1961,15-19,Male,120.3
1961,15-19,Female,113.5
1961,20-24,Male,80.4
1961,20-24,Female,77.6
1961,25-29,Male,72.3
1961,25-29,Female,73.1
1961,30-34,Male,75.2
1961,30-34,Female,77.5
1961,35-39,Male,81.6
1961,35-39,Female,85.2
1961,40-44,Male,84.8
1961,40-44,Female,85.5
1961,45-49,Male,89.0
1961,45-49,Female,85.6
1961,50-54,Male,81.7
1961,50-54,Female,75.4
1961,55-59,Male,68.6
1961,55-59,Female,67.5
1961,60-64,Male,64.4
1961,60-64,Female,66.6
1961,65-69,Male,51.1
1961,65-69,Female,52.3
1961,70-74,Male,44.1
1961,70-74,Female,48.7
1961,75-79,Male,29.7
1961,75-79,Female,33.5
1961,80-84,Male,16.7
1961,80-84,Female,20.4
1961,85+,Male,7.7
1961,85+,Female,10.8
1962,00,Male,30.9
1962,00,Female,29.6
1962,01-04,Male,124.1
1962,01-04,Female,119.1
1962,05-09,Male,148.1
1962,05-09,Female,141.7
1962,10-14,Male,147.8
1962,10-14,Female,140.2
1962,15-19,Male,122.9
1962,15-19,Female,115.9
1962,20-24,Male,83.2
1962,20-24,Female,80.1
1962,25-29,Male,72.8
1962,25-29,Female,73.3
1962,30-34,Male,74.9
1962,30-34,Female,76.5
1962,35-39,Male,80.6
1962,35-39,Female,83.7
1962,40-44,Male,84.1
1962,40-44,Female,84.8
1962,45-49,Male,87.9
1962,45-49,Female,85.0
1962,50-54,Male,82.2
1962,50-54,Female,76.4
1962,55-59,Male,70.0
1962,55-59,Female,68.2
1962,60-64,Male,63.9
1962,60-64,Female,65.7
1962,65-69,Male,51.9
1962,65-69,Female,53.6
1962,70-74,Male,43.7
1962,70-74,Female,48.5
1962,75-79,Male,29.5
1962,75-79,Female,33.6
1962,80-84,Male,16.5
1962,80-84,Female,20.3
1962,85+,Male,7.8
1962,85+,Female,11.1
1963,00,Male,31.8
1963,00,Female,30.3
1963,01-04,Male,125.1
1963,01-04,Female,120.2
1963,05-09,Male,149.5
1963,05-09,Female,143.2
1963,10-14,Male,147.6
1963,10-14,Female,140.4
1963,15-19,Male,125.7
1963,15-19,Female,118.6
1963,20-24,Male,86.3
1963,20-24,Female,82.9
1963,25-29,Male,73.5
1963,25-29,Female,73.7
1963,30-34,Male,74.8
1963,30-34,Female,75.8
1963,35-39,Male,79.8
1963,35-39,Female,82.4
1963,40-44,Male,83.5
1963,40-44,Female,84.4
1963,45-49,Male,87.1
1963,45-49,Female,84.7
1963,50-54,Male,82.9
1963,50-54,Female,77.6
1963,55-59,Male,71.6
1963,55-59,Female,69.1
1963,60-64,Male,63.5
1963,60-64,Female,65.0
1963,65-69,Male,52.8
1963,65-69,Female,55.1
1963,70-74,Male,43.5
1963,70-74,Female,48.5
1963,75-79,Male,29.4
1963,75-79,Female,33.8
1963,80-84,Male,16.4
1963,80-84,Female,20.2
1963,85+,Male,7.9
1963,85+,Female,11.4
1964,00,Male,32.1
1964,00,Female,30.8
1964,01-04,Male,126.4
1964,01-04,Female,121.2
1964,05-09,Male,150.7
1964,05-09,Female,144.4
1964,10-14,Male,147.1
1964,10-14,Female,140.3
1964,15-19,Male,128.4
1964,15-19,Female,121.2
1964,20-24,Male,89.2
1964,20-24,Female,85.5
1964,25-29,Male,74.1
1964,25-29,Female,74.0
1964,30-34,Male,74.6
1964,30-34,Female,74.8
1964,35-39,Male,78.8
1964,35-39,Female,81.0
1964,40-44,Male,82.8
1964,40-44,Female,83.8
1964,45-49,Male,86.0
1964,45-49,Female,84.1
1964,50-54,Male,83.5
1964,50-54,Female,78.6
1964,55-59,Male,73.1
1964,55-59,Female,69.8
1964,60-64,Male,62.9
1964,60-64,Female,64.1
1964,65-69,Male,53.6
1964,65-69,Female,56.5
1964,70-74,Male,43.1
1964,70-74,Female,48.3
1964,75-79,Male,29.2
1964,75-79,Female,33.9
1964,80-84,Male,16.2
1964,80-84,Female,20.1
1964,85+,Male,8.0
1964,85+,Female,11.6
1965,00,Male,31.8
1965,00,Female,30.6
1965,01-04,Male,128.3
1965,01-04,Female,122.7
1965,05-09,Male,151.7
1965,05-09,Female,145.5
1965,10-14,Male,146.5
1965,10-14,Female,140.1
1965,15-19,Male,131.0
1965,15-19,Female,123.6
1965,20-24,Male,92.0
